state,month,filings_2020,filings_avg
connecticut,Jan-20,0,0
connecticut,Feb-20,1,1
connecticut,Mar-20,0,0
connecticut,Apr-20,0,0
connecticut,May-20,0,0
connecticut,Jun-20,0,0.5
connecticut,Jul-20,0,1
connecticut,Aug-20,0,0
connecticut,Sep-20,0,0.5
connecticut,Oct-20,0,0
connecticut,Nov-20,0,0
connecticut,Dec-20,0,0.5
connecticut,Jan-21,1,0
connecticut,Feb-21,0,1
connecticut,Mar-21,0,0
connecticut,Apr-21,0,0
connecticut,May-21,0,0
connecticut,Jun-21,0,0.5
connecticut,Jul-21,0,1
connecticut,Aug-21,0,0
connecticut,Sep-21,0,0.5
connecticut,Oct-21,0,0
connecticut,Nov-21,1,0
connecticut,Dec-21,3,0.5
connecticut,Jan-22,0,0
connecticut,Feb-22,0,1
connecticut,Mar-22,0,0
connecticut,Apr-22,0,0
connecticut,May-22,1,0
connecticut,Jun-22,0,0.5
connecticut,Jul-22,0,1
connecticut,Aug-22,2,0
connecticut,Sep-22,0,0.5
connecticut,Oct-22,0,0
connecticut,Nov-22,0,0
connecticut,Dec-22,0,0.5
connecticut,Jan-23,0,0
connecticut,Feb-23,1,1
connecticut,Mar-23,0,0
connecticut,Apr-23,0,0
connecticut,May-23,0,0
connecticut,Jun-23,1,0.5
connecticut,Jul-23,0,1
connecticut,Aug-23,0,0
connecticut,Sep-23,0,0.5
connecticut,Oct-23,0,0
connecticut,Nov-23,0,0
connecticut,Dec-23,0,0.5
connecticut,Jan-24,0,0
connecticut,Feb-24,1,1
connecticut,Mar-24,0,0
connecticut,Apr-24,0,0
connecticut,May-24,0,0
connecticut,Jun-24,0,0.5
connecticut,Jul-24,2,1
connecticut,Aug-24,0,0
connecticut,Sep-24,1,0.5
connecticut,Oct-24,0,0
connecticut,Nov-24,0,0
connecticut,Dec-24,1,0.5
connecticut,Jan-25,0,0
connecticut,Feb-25,0,1
connecticut,Mar-25,1,0
connecticut,Apr-25,1,0
connecticut,May-25,1,0
connecticut,Jun-25,1,0.5
connecticut,Jul-25,0,1
connecticut,Aug-25,0,0
connecticut,Sep-25,0,0.5
connecticut,Oct-25,0,0
connecticut,Jan-20,0,1
connecticut,Feb-20,0,1
connecticut,Mar-20,0,1
connecticut,Apr-20,0,0.5
connecticut,May-20,0,0.5
connecticut,Jun-20,0,1
connecticut,Jul-20,0,1.5
connecticut,Aug-20,0,0
connecticut,Sep-20,0,0.5
connecticut,Oct-20,0,0
connecticut,Nov-20,0,0
connecticut,Dec-20,0,0
connecticut,Jan-21,0,1
connecticut,Feb-21,0,1
connecticut,Mar-21,0,1
connecticut,Apr-21,0,0.5
connecticut,May-21,0,0.5
connecticut,Jun-21,0,1
connecticut,Jul-21,0,1.5
connecticut,Aug-21,0,0
connecticut,Sep-21,1,0.5
connecticut,Oct-21,0,0
connecticut,Nov-21,0,0
connecticut,Dec-21,0,0
connecticut,Jan-22,0,1
connecticut,Feb-22,1,1
connecticut,Mar-22,2,1
connecticut,Apr-22,1,0.5
connecticut,May-22,0,0.5
connecticut,Jun-22,2,1
connecticut,Jul-22,0,1.5
connecticut,Aug-22,0,0
connecticut,Sep-22,1,0.5
connecticut,Oct-22,0,0
connecticut,Nov-22,0,0
connecticut,Dec-22,0,0
connecticut,Jan-23,2,1
connecticut,Feb-23,1,1
connecticut,Mar-23,1,1
connecticut,Apr-23,1,0.5
connecticut,May-23,0,0.5
connecticut,Jun-23,1,1
connecticut,Jul-23,3,1.5
connecticut,Aug-23,0,0
connecticut,Sep-23,1,0.5
connecticut,Oct-23,0,0
connecticut,Nov-23,0,0
connecticut,Dec-23,0,0
connecticut,Jan-24,0,1
connecticut,Feb-24,1,1
connecticut,Mar-24,1,1
connecticut,Apr-24,0,0.5
connecticut,May-24,1,0.5
connecticut,Jun-24,1,1
connecticut,Jul-24,0,1.5
connecticut,Aug-24,0,0
connecticut,Sep-24,0,0.5
connecticut,Oct-24,0,0
connecticut,Nov-24,0,0
connecticut,Dec-24,0,0
connecticut,Jan-25,0,1
connecticut,Feb-25,1,1
connecticut,Mar-25,1,1
connecticut,Apr-25,0,0.5
connecticut,May-25,0,0.5
connecticut,Jun-25,2,1
connecticut,Jul-25,0,1.5
connecticut,Aug-25,0,0
connecticut,Sep-25,0,0.5
connecticut,Oct-25,0,0
connecticut,Jan-20,0,1
connecticut,Feb-20,0,0
connecticut,Mar-20,1,0.5
connecticut,Apr-20,0,1
connecticut,May-20,0,0
connecticut,Jun-20,0,0.5
connecticut,Jul-20,1,1
connecticut,Aug-20,0,0.5
connecticut,Sep-20,0,0.5
connecticut,Oct-20,0,0
connecticut,Nov-20,0,0
connecticut,Dec-20,0,0
connecticut,Jan-21,0,1
connecticut,Feb-21,0,0
connecticut,Mar-21,0,0.5
connecticut,Apr-21,0,1
connecticut,May-21,0,0
connecticut,Jun-21,0,0.5
connecticut,Jul-21,0,1
connecticut,Aug-21,1,0.5
connecticut,Sep-21,0,0.5
connecticut,Oct-21,0,0
connecticut,Nov-21,0,0
connecticut,Dec-21,2,0
connecticut,Jan-22,2,1
connecticut,Feb-22,1,0
connecticut,Mar-22,1,0.5
connecticut,Apr-22,1,1
connecticut,May-22,2,0
connecticut,Jun-22,0,0.5
connecticut,Jul-22,1,1
connecticut,Aug-22,1,0.5
connecticut,Sep-22,0,0.5
connecticut,Oct-22,1,0
connecticut,Nov-22,0,0
connecticut,Dec-22,1,0
connecticut,Jan-23,2,1
connecticut,Feb-23,0,0
connecticut,Mar-23,1,0.5
connecticut,Apr-23,1,1
connecticut,May-23,0,0
connecticut,Jun-23,1,0.5
connecticut,Jul-23,1,1
connecticut,Aug-23,1,0.5
connecticut,Sep-23,0,0.5
connecticut,Oct-23,0,0
connecticut,Nov-23,0,0
connecticut,Dec-23,0,0
connecticut,Jan-24,0,1
connecticut,Feb-24,0,0
connecticut,Mar-24,0,0.5
connecticut,Apr-24,1,1
connecticut,May-24,0,0
connecticut,Jun-24,0,0.5
connecticut,Jul-24,1,1
connecticut,Aug-24,0,0.5
connecticut,Sep-24,1,0.5
connecticut,Oct-24,0,0
connecticut,Nov-24,0,0
connecticut,Dec-24,0,0
connecticut,Jan-25,0,1
connecticut,Feb-25,0,0
connecticut,Mar-25,0,0.5
connecticut,Apr-25,0,1
connecticut,May-25,0,0
connecticut,Jun-25,0,0.5
connecticut,Jul-25,2,1
connecticut,Aug-25,0,0.5
connecticut,Sep-25,0,0.5
connecticut,Oct-25,1,0
connecticut,Jan-20,6,2.5
connecticut,Feb-20,0,2
connecticut,Mar-20,2,2
connecticut,Apr-20,1,2
connecticut,May-20,0,2
connecticut,Jun-20,0,0.5
connecticut,Jul-20,0,3.5
connecticut,Aug-20,1,1.5
connecticut,Sep-20,1,4.5
connecticut,Oct-20,1,1.5
connecticut,Nov-20,0,2
connecticut,Dec-20,0,5
connecticut,Jan-21,1,2.5
connecticut,Feb-21,0,2
connecticut,Mar-21,0,2
connecticut,Apr-21,0,2
connecticut,May-21,1,2
connecticut,Jun-21,0,0.5
connecticut,Jul-21,1,3.5
connecticut,Aug-21,0,1.5
connecticut,Sep-21,7,4.5
connecticut,Oct-21,4,1.5
connecticut,Nov-21,4,2
connecticut,Dec-21,3,5
connecticut,Jan-22,3,2.5
connecticut,Feb-22,3,2
connecticut,Mar-22,5,2
connecticut,Apr-22,6,2
connecticut,May-22,0,2
connecticut,Jun-22,3,0.5
connecticut,Jul-22,1,3.5
connecticut,Aug-22,3,1.5
connecticut,Sep-22,4,4.5
connecticut,Oct-22,3,1.5
connecticut,Nov-22,0,2
connecticut,Dec-22,0,5
connecticut,Jan-23,4,2.5
connecticut,Feb-23,2,2
connecticut,Mar-23,1,2
connecticut,Apr-23,2,2
connecticut,May-23,1,2
connecticut,Jun-23,0,0.5
connecticut,Jul-23,2,3.5
connecticut,Aug-23,2,1.5
connecticut,Sep-23,2,4.5
connecticut,Oct-23,1,1.5
connecticut,Nov-23,4,2
connecticut,Dec-23,7,5
connecticut,Jan-24,1,2.5
connecticut,Feb-24,2,2
connecticut,Mar-24,3,2
connecticut,Apr-24,2,2
connecticut,May-24,3,2
connecticut,Jun-24,1,0.5
connecticut,Jul-24,5,3.5
connecticut,Aug-24,1,1.5
connecticut,Sep-24,7,4.5
connecticut,Oct-24,2,1.5
connecticut,Nov-24,0,2
connecticut,Dec-24,3,5
connecticut,Jan-25,4,2.5
connecticut,Feb-25,0,2
connecticut,Mar-25,2,2
connecticut,Apr-25,3,2
connecticut,May-25,2,2
connecticut,Jun-25,3,0.5
connecticut,Jul-25,3,3.5
connecticut,Aug-25,0,1.5
connecticut,Sep-25,3,4.5
connecticut,Oct-25,0,0.5
connecticut,Jan-20,0,0.5
connecticut,Feb-20,0,2.5
connecticut,Mar-20,0,0.5
connecticut,Apr-20,0,0.5
connecticut,May-20,0,0
connecticut,Jun-20,0,0
connecticut,Jul-20,0,1.5
connecticut,Aug-20,0,0
connecticut,Sep-20,0,1
connecticut,Oct-20,0,1
connecticut,Nov-20,2,0.5
connecticut,Dec-20,0,0.5
connecticut,Jan-21,0,0.5
connecticut,Feb-21,0,2.5
connecticut,Mar-21,1,0.5
connecticut,Apr-21,1,0.5
connecticut,May-21,0,0
connecticut,Jun-21,0,0
connecticut,Jul-21,0,1.5
connecticut,Aug-21,0,0
connecticut,Sep-21,2,1
connecticut,Oct-21,0,1
connecticut,Nov-21,0,0.5
connecticut,Dec-21,0,0.5
connecticut,Jan-22,1,0.5
connecticut,Feb-22,1,2.5
connecticut,Mar-22,2,0.5
connecticut,Apr-22,0,0.5
connecticut,May-22,1,0
connecticut,Jun-22,0,0
connecticut,Jul-22,2,1.5
connecticut,Aug-22,1,0
connecticut,Sep-22,2,1
connecticut,Oct-22,1,1
connecticut,Nov-22,3,0.5
connecticut,Dec-22,1,0.5
connecticut,Jan-23,1,0.5
connecticut,Feb-23,5,2.5
connecticut,Mar-23,1,0.5
connecticut,Apr-23,0,0.5
connecticut,May-23,0,0
connecticut,Jun-23,0,0
connecticut,Jul-23,2,1.5
connecticut,Aug-23,0,0
connecticut,Sep-23,2,1
connecticut,Oct-23,1,1
connecticut,Nov-23,1,0.5
connecticut,Dec-23,0,0.5
connecticut,Jan-24,0,0.5
connecticut,Feb-24,0,2.5
connecticut,Mar-24,0,0.5
connecticut,Apr-24,1,0.5
connecticut,May-24,0,0
connecticut,Jun-24,0,0
connecticut,Jul-24,1,1.5
connecticut,Aug-24,0,0
connecticut,Sep-24,0,1
connecticut,Oct-24,1,1
connecticut,Nov-24,0,0.5
connecticut,Dec-24,1,0.5
connecticut,Jan-25,0,0.5
connecticut,Feb-25,0,2.5
connecticut,Mar-25,2,0.5
connecticut,Apr-25,1,0.5
connecticut,May-25,0,0
connecticut,Jun-25,1,0
connecticut,Jul-25,1,1.5
connecticut,Aug-25,0,0
connecticut,Sep-25,0,1
connecticut,Oct-25,0,0
connecticut,Jan-20,0,1.5
connecticut,Feb-20,0,3
connecticut,Mar-20,1,2.5
connecticut,Apr-20,0,1
connecticut,May-20,0,0
connecticut,Jun-20,0,1.5
connecticut,Jul-20,1,1.5
connecticut,Aug-20,0,0.5
connecticut,Sep-20,1,0.5
connecticut,Oct-20,2,1
connecticut,Nov-20,0,1.5
connecticut,Dec-20,1,0.5
connecticut,Jan-21,0,1.5
connecticut,Feb-21,1,3
connecticut,Mar-21,1,2.5
connecticut,Apr-21,0,1
connecticut,May-21,0,0
connecticut,Jun-21,0,1.5
connecticut,Jul-21,0,1.5
connecticut,Aug-21,1,0.5
connecticut,Sep-21,7,0.5
connecticut,Oct-21,2,1
connecticut,Nov-21,7,1.5
connecticut,Dec-21,1,0.5
connecticut,Jan-22,1,1.5
connecticut,Feb-22,2,3
connecticut,Mar-22,2,2.5
connecticut,Apr-22,0,1
connecticut,May-22,0,0
connecticut,Jun-22,1,1.5
connecticut,Jul-22,3,1.5
connecticut,Aug-22,7,0.5
connecticut,Sep-22,0,0.5
connecticut,Oct-22,1,1
connecticut,Nov-22,1,1.5
connecticut,Dec-22,0,0.5
connecticut,Jan-23,1,1.5
connecticut,Feb-23,3,3
connecticut,Mar-23,2,2.5
connecticut,Apr-23,0,1
connecticut,May-23,0,0
connecticut,Jun-23,0,1.5
connecticut,Jul-23,0,1.5
connecticut,Aug-23,1,0.5
connecticut,Sep-23,0,0.5
connecticut,Oct-23,1,1
connecticut,Nov-23,3,1.5
connecticut,Dec-23,1,0.5
connecticut,Jan-24,2,1.5
connecticut,Feb-24,3,3
connecticut,Mar-24,3,2.5
connecticut,Apr-24,2,1
connecticut,May-24,0,0
connecticut,Jun-24,3,1.5
connecticut,Jul-24,3,1.5
connecticut,Aug-24,0,0.5
connecticut,Sep-24,1,0.5
connecticut,Oct-24,1,1
connecticut,Nov-24,0,1.5
connecticut,Dec-24,0,0.5
connecticut,Jan-25,3,1.5
connecticut,Feb-25,0,3
connecticut,Mar-25,1,2.5
connecticut,Apr-25,4,1
connecticut,May-25,2,0
connecticut,Jun-25,1,1.5
connecticut,Jul-25,0,1.5
connecticut,Aug-25,0,0.5
connecticut,Sep-25,0,0.5
connecticut,Oct-25,0,0.5
connecticut,Jan-20,0,0
connecticut,Feb-20,1,0
connecticut,Mar-20,0,0
connecticut,Apr-20,0,0.5
connecticut,May-20,0,0.5
connecticut,Jun-20,0,0.5
connecticut,Jul-20,0,0.5
connecticut,Aug-20,0,0.5
connecticut,Sep-20,0,0
connecticut,Oct-20,0,0
connecticut,Nov-20,0,0
connecticut,Dec-20,0,0
connecticut,Jan-21,1,0
connecticut,Feb-21,0,0
connecticut,Mar-21,1,0
connecticut,Apr-21,0,0.5
connecticut,May-21,0,0.5
connecticut,Jun-21,0,0.5
connecticut,Jul-21,0,0.5
connecticut,Aug-21,0,0.5
connecticut,Sep-21,1,0
connecticut,Oct-21,0,0
connecticut,Nov-21,0,0
connecticut,Dec-21,0,0
connecticut,Jan-22,0,0
connecticut,Feb-22,0,0
connecticut,Mar-22,0,0
connecticut,Apr-22,1,0.5
connecticut,May-22,1,0.5
connecticut,Jun-22,0,0.5
connecticut,Jul-22,0,0.5
connecticut,Aug-22,1,0.5
connecticut,Sep-22,0,0
connecticut,Oct-22,0,0
connecticut,Nov-22,0,0
connecticut,Dec-22,1,0
connecticut,Jan-23,0,0
connecticut,Feb-23,0,0
connecticut,Mar-23,0,0
connecticut,Apr-23,0,0.5
connecticut,May-23,0,0.5
connecticut,Jun-23,1,0.5
connecticut,Jul-23,0,0.5
connecticut,Aug-23,1,0.5
connecticut,Sep-23,0,0
connecticut,Oct-23,0,0
connecticut,Nov-23,0,0
connecticut,Dec-23,0,0
connecticut,Jan-24,0,0
connecticut,Feb-24,0,0
connecticut,Mar-24,0,0
connecticut,Apr-24,1,0.5
connecticut,May-24,1,0.5
connecticut,Jun-24,0,0.5
connecticut,Jul-24,1,0.5
connecticut,Aug-24,0,0.5
connecticut,Sep-24,0,0
connecticut,Oct-24,0,0
connecticut,Nov-24,0,0
connecticut,Dec-24,0,0
connecticut,Jan-25,0,0
connecticut,Feb-25,1,0
connecticut,Mar-25,0,0
connecticut,Apr-25,0,0.5
connecticut,May-25,0,0.5
connecticut,Jun-25,0,0.5
connecticut,Jul-25,0,0.5
connecticut,Aug-25,0,0.5
connecticut,Sep-25,0,0
connecticut,Oct-25,0,0
connecticut,Jan-20,1,0
connecticut,Feb-20,0,0
connecticut,Mar-20,1,1.5
connecticut,Apr-20,0,0
connecticut,May-20,0,0.5
connecticut,Jun-20,0,0
connecticut,Jul-20,0,1
connecticut,Aug-20,0,0.5
connecticut,Sep-20,0,1
connecticut,Oct-20,0,0.5
connecticut,Nov-20,1,0.5
connecticut,Dec-20,0,1.5
connecticut,Jan-21,0,0
connecticut,Feb-21,0,0
connecticut,Mar-21,0,1.5
connecticut,Apr-21,0,0
connecticut,May-21,0,0.5
connecticut,Jun-21,0,0
connecticut,Jul-21,0,1
connecticut,Aug-21,0,0.5
connecticut,Sep-21,2,1
connecticut,Oct-21,0,0.5
connecticut,Nov-21,0,0.5
connecticut,Dec-21,1,1.5
connecticut,Jan-22,0,0
connecticut,Feb-22,0,0
connecticut,Mar-22,1,1.5
connecticut,Apr-22,1,0
connecticut,May-22,2,0.5
connecticut,Jun-22,0,0
connecticut,Jul-22,1,1
connecticut,Aug-22,1,0.5
connecticut,Sep-22,0,1
connecticut,Oct-22,0,0.5
connecticut,Nov-22,0,0.5
connecticut,Dec-22,0,1.5
connecticut,Jan-23,0,0
connecticut,Feb-23,0,0
connecticut,Mar-23,2,1.5
connecticut,Apr-23,0,0
connecticut,May-23,1,0.5
connecticut,Jun-23,0,0
connecticut,Jul-23,2,1
connecticut,Aug-23,1,0.5
connecticut,Sep-23,0,1
connecticut,Oct-23,0,0.5
connecticut,Nov-23,0,0.5
connecticut,Dec-23,0,1.5
connecticut,Jan-24,0,0
connecticut,Feb-24,0,0
connecticut,Mar-24,1,1.5
connecticut,Apr-24,0,0
connecticut,May-24,0,0.5
connecticut,Jun-24,0,0
connecticut,Jul-24,0,1
connecticut,Aug-24,0,0.5
connecticut,Sep-24,2,1
connecticut,Oct-24,1,0.5
connecticut,Nov-24,1,0.5
connecticut,Dec-24,3,1.5
connecticut,Jan-25,1,0
connecticut,Feb-25,0,0
connecticut,Mar-25,1,1.5
connecticut,Apr-25,0,0
connecticut,May-25,1,0.5
connecticut,Jun-25,0,0
connecticut,Jul-25,1,1
connecticut,Aug-25,0,0.5
connecticut,Sep-25,1,1
connecticut,Oct-25,0,0.5
connecticut,Jan-20,0,0.5
connecticut,Feb-20,0,0
connecticut,Mar-20,0,0
connecticut,Apr-20,0,0
connecticut,May-20,0,0.5
connecticut,Jun-20,0,0
connecticut,Jul-20,1,0.5
connecticut,Aug-20,0,0
connecticut,Sep-20,0,0
connecticut,Oct-20,0,0.5
connecticut,Nov-20,0,0
connecticut,Dec-20,0,0
connecticut,Jan-21,0,0.5
connecticut,Feb-21,0,0
connecticut,Mar-21,0,0
connecticut,Apr-21,0,0
connecticut,May-21,0,0.5
connecticut,Jun-21,0,0
connecticut,Jul-21,0,0.5
connecticut,Aug-21,0,0
connecticut,Sep-21,0,0
connecticut,Oct-21,0,0.5
connecticut,Nov-21,0,0
connecticut,Dec-21,1,0
connecticut,Jan-22,0,0.5
connecticut,Feb-22,0,0
connecticut,Mar-22,0,0
connecticut,Apr-22,0,0
connecticut,May-22,0,0.5
connecticut,Jun-22,0,0
connecticut,Jul-22,1,0.5
connecticut,Aug-22,0,0
connecticut,Sep-22,0,0
connecticut,Oct-22,1,0.5
connecticut,Nov-22,1,0
connecticut,Dec-22,0,0
connecticut,Jan-23,0,0.5
connecticut,Feb-23,0,0
connecticut,Mar-23,0,0
connecticut,Apr-23,0,0
connecticut,May-23,1,0.5
connecticut,Jun-23,0,0
connecticut,Jul-23,1,0.5
connecticut,Aug-23,0,0
connecticut,Sep-23,0,0
connecticut,Oct-23,0,0.5
connecticut,Nov-23,0,0
connecticut,Dec-23,0,0
connecticut,Jan-24,1,0.5
connecticut,Feb-24,0,0
connecticut,Mar-24,0,0
connecticut,Apr-24,0,0
connecticut,May-24,0,0.5
connecticut,Jun-24,0,0
connecticut,Jul-24,0,0.5
connecticut,Aug-24,0,0
connecticut,Sep-24,0,0
connecticut,Oct-24,1,0.5
connecticut,Nov-24,0,0
connecticut,Dec-24,0,0
connecticut,Jan-25,0,0.5
connecticut,Feb-25,0,0
connecticut,Mar-25,0,0
connecticut,Apr-25,0,0
connecticut,May-25,0,0.5
connecticut,Jun-25,0,0
connecticut,Jul-25,1,0.5
connecticut,Aug-25,0,0
connecticut,Sep-25,0,0
connecticut,Oct-25,1,0
connecticut,Jan-20,0,0
connecticut,Feb-20,0,0
connecticut,Mar-20,0,0
connecticut,Apr-20,0,0
connecticut,May-20,0,0
connecticut,Jun-20,0,0
connecticut,Jul-20,0,0
connecticut,Aug-20,0,0
connecticut,Sep-20,0,0.5
connecticut,Oct-20,0,0
connecticut,Nov-20,1,0
connecticut,Dec-20,0,0
connecticut,Jan-21,0,0
connecticut,Feb-21,0,0
connecticut,Mar-21,0,0
connecticut,Apr-21,0,0
connecticut,May-21,0,0
connecticut,Jun-21,0,0
connecticut,Jul-21,0,0
connecticut,Aug-21,0,0
connecticut,Sep-21,0,0.5
connecticut,Oct-21,0,0
connecticut,Nov-21,0,0
connecticut,Dec-21,0,0
connecticut,Jan-22,0,0
connecticut,Feb-22,1,0
connecticut,Mar-22,0,0
connecticut,Apr-22,0,0
connecticut,May-22,0,0
connecticut,Jun-22,0,0
connecticut,Jul-22,0,0
connecticut,Aug-22,0,0
